"Name of State / UT","Active Cases - Total","Active Cases - Change Since Yesterday","Cured/Discharged/Migrated - Cumulative","Cured/Discharged/Migrated - Change Since Yesterday","Deaths - Cumulative","Deaths - Change Since Yesterday","Report Date","Load Date"
"Gujarat","14346","3352","820383","860","10127","1",2022-01-07,2022-01-07
"Haryana","7935","1876","763694","801","10067","1",2022-01-07,2022-01-07
"Himachal Pradesh","1655","439","224750","59","3880","",2022-01-07,2022-01-07
"Jammu and Kashmir","2049","230","336186","116","4533","3",2022-01-07,2022-01-07
"Jharkhand","14255","3265","345814","435","5153","4",2022-01-07,2022-01-07
"Karnataka","22202","4759","2962043","271","38358","1",2022-01-07,2022-01-07
"Kerala***","25855","2248","5193093","2180","49116","221",2022-01-07,2022-01-07
"Ladakh","269","12","21880","9","221","",2022-01-07,2022-01-07
"Lakshadweep","4","1","10365","","51","",2022-01-07,2022-01-07
"Madhya Pradesh","2475","931","783386","102","10535","",2022-01-07,2022-01-07
"Maharashtra","118549","27345","6533154","8907","141594","13",2022-01-07,2022-01-07
"Manipur","316","48","123639","10","2009","1",2022-01-07,2022-01-07
"Meghalaya","212","67","83324","23","1485","",2022-01-07,2022-01-07
"Mizoram","3018","446","140200","133","554","",2022-01-07,2022-01-07
"Nagaland","82","18","31462","12","703","1",2022-01-07,2022-01-07
"Odisha","5588","1692","1045718","204","8467","1",2022-01-07,2022-01-07
"Puducherry","399","121","127541","8","1881","",2022-01-07,2022-01-07
"Punjab","6687","2253","587753","121","16662","5",2022-01-07,2022-01-07
"Rajasthan","7268","2252","946874","404","8967","",2022-01-07,2022-01-07
"Sikkim","86","21","32075","6","409","",2022-01-07,2022-01-07
"Tamil Nadu","22828","6251","2707779","721","36825","11",2022-01-07,2022-01-07
"Telangana","7847","1679","675573","232","4036","2",2022-01-07,2022-01-07
"Tripura","359","81","84212","22","829","",2022-01-07,2022-01-07
"Uttarakhand","1425","425","338250","202","7423","3",2022-01-07,2022-01-07
"Uttar Pradesh","8224","3066","1688105","47","22917","1",2022-01-07,2022-01-07
"West Bengal","41101","8059","1632797","7343","19846","19",2022-01-07,2022-01-07
"Andaman and Nicobar Islands","132","27","7628","14","129","",2022-01-08,2022-01-08
"Andhra Pradesh","2972","706","2062290","133","14501","1",2022-01-08,2022-01-08
"Arunachal Pradesh","127","24","55053","2","282","",2022-01-08,2022-01-08
"Assam","4948","912","613373","253","6178","2",2022-01-08,2022-01-08
"Bihar","8490","2704","715262","342","12100","2",2022-01-08,2022-01-08
"Chandigarh","1323","344","64811","46","1080","",2022-01-08,2022-01-08
"Chhattisgarh","9684","2779","994063","46","13609","3",2022-01-08,2022-01-08
"Dadra and Nagar Haveli and Daman and Diu","60","22","10688","","4","",2022-01-08,2022-01-08
"Delhi","39873","8375","1441789","8951","25136","9",2022-01-08,2022-01-08
"Goa","5931","1318","176737","112","3530","2",2022-01-08,2022-01-08
"Gujarat","18583","4237","821541","1158","10128","1",2022-01-08,2022-01-08
"Haryana","10798","2863","764576","882","10070","3",2022-01-08,2022-01-08
"Himachal Pradesh","2153","498","224825","75","3881","1",2022-01-08,2022-01-08
"Jammu and Kashmir","2492","443","336284","98","4534","1",2022-01-08,2022-01-08
"Jharkhand","17206","2951","346680","866","5161","8",2022-01-08,2022-01-08
"Karnataka","30142","7940","2962548","505","38362","4",2022-01-08,2022-01-08
"Kerala***","28558","2703","5195497","2404","49305","189",2022-01-08,2022-01-08
"Ladakh","241","28","21951","71","221","",2022-01-08,2022-01-08
"Lakshadweep","4","","10365","","51","",2022-01-08,2022-01-08
"Madhya Pradesh","3632","1157","783547","161","10536","1",2022-01-08,2022-01-08
"Maharashtra","145198","26649","6547410","14256","141614","20",2022-01-08,2022-01-08
"Manipur","346","30","123657","18","2009","",2022-01-08,2022-01-08
"Meghalaya","262","50","83338","14","1485","",2022-01-08,2022-01-08
"Mizoram","3617","599","140450","250","557","3",2022-01-08,2022-01-08
"Nagaland","81","1","31471","9","703","",2022-01-08,2022-01-08
"Odisha","8037","2449","1045971","253","8468","1",2022-01-08,2022-01-08
"Puducherry","562","163","127555","14","1881","",2022-01-08,2022-01-08
"Punjab","9425","2738","587888","135","16663","1",2022-01-08,2022-01-08
"Rajasthan","10287","3019","947153","279","8969","2",2022-01-08,2022-01-08
"Sikkim","111","25","32084","9","409","",2022-01-08,2022-01-08
"Tamil Nadu","30817","7989","2708763","984","36833","8",2022-01-08,2022-01-08
"Telangana","9861","2014","675851","278","4039","3",2022-01-08,2022-01-08
"Tripura","483","124","84241","29","830","1",2022-01-08,2022-01-08
"Uttarakhand","2022","597","338467","217","7423","",2022-01-08,2022-01-08
"Uttar Pradesh","12327","4103","1688224","119","22918","1",2022-01-08,2022-01-08
"West Bengal","51384","10283","1640709","7912","19864","18",2022-01-08,2022-01-08
"Andaman and Nicobar Islands","322","135","7699","40","129","",2022-01-10,2022-01-10
"Andhra Pradesh","4774","1115","2062580","140","14505","2",2022-01-10,2022-01-10
"Arunachal Pradesh","222","36","55054","1","282","",2022-01-10,2022-01-10
"Assam","6434","539","614126","448","6181","1",2022-01-10,2022-01-10
"Bihar","16898","4586","716401","435","12101","1",2022-01-10,2022-01-10
"Chandigarh","2364","570","64977","96","1080","",2022-01-10,2022-01-10
"Chhattisgarh","15464","2398","994234","102","13615","2",2022-01-10,2022-01-10
"Dadra and Nagar Haveli and Daman and Diu","89","11","10694","5","4","",2022-01-10,2022-01-10
"Delhi","60733","12555","1463837","10179","25160","17",2022-01-10,2022-01-10
"Goa","9209","1660","177168","261","3532","1",2022-01-10,2022-01-10
"Gujarat","27913","5012","824163","1263","10128","",2022-01-10,2022-01-10
"Haryana","18321","4361","765758","805","10072","",2022-01-10,2022-01-10
"Himachal Pradesh","3148","337","225055","160","3882","1",2022-01-10,2022-01-10
"Jammu and Kashmir","3531","549","336581","135","4540","3",2022-01-10,2022-01-10
"Jharkhand","23328","2230","349074","1208","5170","6",2022-01-10,2022-01-10
"Karnataka","49631","11095","2963957","901","38370","4",2022-01-10,2022-01-10
"Kerala***","35601","3804","5200350","2390","49591","44",2022-01-10,2022-01-10
"Ladakh","340","59","22000","30","221","",2022-01-10,2022-01-10
"Lakshadweep","1","3","10368","3","51","",2022-01-10,2022-01-10
"Madhya Pradesh","6842","1804","783947","234","10537","1",2022-01-10,2022-01-10
"Maharashtra","205973","29025","6572432","15351","141639","12",2022-01-10,2022-01-10
"Manipur","469","55","123676","12","2011","1",2022-01-10,2022-01-10
"Meghalaya","394","66","83355","10","1485","",2022-01-10,2022-01-10
"Mizoram","4612","245","140872","270","561","3",2022-01-10,2022-01-10
"Nagaland","81","2","31486","4","703","",2022-01-10,2022-01-10
"Odisha","15784","4328","1046617","386","8468","",2022-01-10,2022-01-10
"Puducherry","1250","425","127590","19","1882","",2022-01-10,2022-01-10
"Punjab","16343","3729","588401","144","16675","10",2022-01-10,2022-01-10
"Rajasthan","19467","5301","947738","358","8972","1",2022-01-10,2022-01-10
"Sikkim","218","66","32092","4","409","",2022-01-10,2022-01-10
"Tamil Nadu","51335","11075","2712096","1808","36855","12",2022-01-10,2022-01-10
"Telangana","13522","1342","676466","330","4042","1",2022-01-10,2022-01-10
"Tripura","803","153","84303","23","830","",2022-01-10,2022-01-10
"Uttarakhand","4118","864","339343","548","7424","1",2022-01-10,2022-01-10
"Uttar Pradesh","25974","7423","1688648","253","22928","4",2022-01-10,2022-01-10
"West Bengal","78111","16056","1657034","8213","19901","18",2022-01-10,2022-01-10
"Andaman and Nicobar Islands","393","71","7724","25","129","",2022-01-11,2022-01-11
"Andhra Pradesh","5606","832","2062732","152","14505","",2022-01-11,2022-01-11
"Arunachal Pradesh","352","130","55058","4","282","",2022-01-11,2022-01-11
"Assam","8214","1780","614542","416","6183","2",2022-01-11,2022-01-11
"Bihar","20939","4041","717092","691","12106","5",2022-01-11,2022-01-11
"Chandigarh","3253","889","65054","77","1081","1",2022-01-11,2022-01-11
"Chhattisgarh","19222","3758","994592","358","13619","4",2022-01-11,2022-01-11
"Dadra and Nagar Haveli and Daman and Diu","105","16","10696","2","4","",2022-01-11,2022-01-11
"Delhi","65806","5073","1477913","14076","25177","17",2022-01-11,2022-01-11
"Goa","10139","930","177829","661","3533","1",2022-01-11,2022-01-11
"Gujarat","32469","4556","825702","1539","10130","2",2022-01-11,2022-01-11
